District,Crime,Period,Year,Month,Count,Region,State,Population,Count_Per_100
ARMADALE DISTRICT,Stealing of Motor Vehicle,2007-10-01,2007,October,56,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,0.022559631955718664
CANNINGTON DISTRICT,Stealing of Motor Vehicle,2007-10-01,2007,October,75,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,0.034338929815805976
FREMANTLE DISTRICT,Stealing of Motor Vehicle,2007-10-01,2007,October,88,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,0.03141746311125709
GOLDFIELDS-ESPERANCE DISTRICT,Stealing of Motor Vehicle,2007-10-01,2007,October,18,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,0.03416532219796906
GREAT SOUTHERN DISTRICT,Stealing of Motor Vehicle,2007-10-01,2007,October,3,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,0.0036001440057602304
JOONDALUP DISTRICT,Stealing of Motor Vehicle,2007-10-01,2007,October,64,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,0.0173388167341255
KIMBERLEY DISTRICT,Stealing of Motor Vehicle,2007-10-01,2007,October,9,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,0.02564687108172803
MANDURAH DISTRICT,Stealing of Motor Vehicle,2007-10-01,2007,October,70,METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,0.02414467489195258
MID WEST-GASCOYNE DISTRICT,Stealing of Motor Vehicle,2007-10-01,2007,October,20,REGIONAL WA REGION,WESTERN AUSTRALIA,60761.0,0.03291585062786985
MIDLAND DISTRICT,Stealing of Motor Vehicle,2007-10-01,2007,October,49,METROPOLITAN REGION,WESTERN AUSTRALIA,250902.0,0.019529537428956325
MIRRABOOKA DISTRICT,Stealing of Motor Vehicle,2007-10-01,2007,October,77,METROPOLITAN REGION,WESTERN AUSTRALIA,295652.0,0.026044132967137038
PERTH DISTRICT,Stealing of Motor Vehicle,2007-10-01,2007,October,28,METROPOLITAN REGION,WESTERN AUSTRALIA,139077.0,0.020132732227471112
PILBARA DISTRICT,Stealing of Motor Vehicle,2007-10-01,2007,October,47,REGIONAL WA REGION,WESTERN AUSTRALIA,55119.0,0.08527005206915944
