District,Crime,Region,State,Population,Count,Count_Per_100
MID WEST-GASCOYNE DISTRICT,Receiving and Possession of Stolen Property,REGIONAL WA REGION,WESTERN AUSTRALIA,60761.0,1816,2.988759237010582
PILBARA DISTRICT,Receiving and Possession of Stolen Property,REGIONAL WA REGION,WESTERN AUSTRALIA,55119.0,1645,2.9844518224205805
PERTH DISTRICT,Regulated Weapons Offences,METROPOLITAN REGION,WESTERN AUSTRALIA,139077.0,4058,2.9178081206813493
SOUTH WEST DISTRICT,Stealing of Motor Vehicle,REGIONAL WA REGION,WESTERN AUSTRALIA,188744.0,5290,2.8027381002839826
MID WEST-GASCOYNE DISTRICT,Graffiti,REGIONAL WA REGION,WESTERN AUSTRALIA,60761.0,1656,2.7254324319876235
GOLDFIELDS-ESPERANCE DISTRICT,Historical Sexual Offences,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,1395,2.6478124703426023
PILBARA DISTRICT,Graffiti,REGIONAL WA REGION,WESTERN AUSTRALIA,55119.0,1446,2.6234147934469054
GOLDFIELDS-ESPERANCE DISTRICT,Graffiti,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,1357,2.5756856790357787
PERTH DISTRICT,Robbery,METROPOLITAN REGION,WESTERN AUSTRALIA,139077.0,3559,2.5590140713417746
CANNINGTON DISTRICT,Threatening Behaviour (Non-Family),METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,5547,2.53970724917701
CANNINGTON DISTRICT,Graffiti,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,5542,2.53741798718929
PILBARA DISTRICT,Historical Sexual Offences,REGIONAL WA REGION,WESTERN AUSTRALIA,55119.0,1392,2.5254449463887223
MIRRABOOKA DISTRICT,Receiving and Possession of Stolen Property,METROPOLITAN REGION,WESTERN AUSTRALIA,295652.0,7403,2.5039573552690326
ARMADALE DISTRICT,Regulated Weapons Offences,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,6164,2.4831709174116043
MIRRABOOKA DISTRICT,Graffiti,METROPOLITAN REGION,WESTERN AUSTRALIA,295652.0,7187,2.430898488763817
GREAT SOUTHERN DISTRICT,Stealing of Motor Vehicle,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,1984,2.3808952358094326
WHEATBELT DISTRICT,Threatening Behaviour (Family),REGIONAL WA REGION,WESTERN AUSTRALIA,55937.0,1290,2.3061658651697443
FREMANTLE DISTRICT,Graffiti,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,6402,2.2856204413439536
MANDURAH DISTRICT,Recent Sexual Offences,METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,6625,2.2851210165597977
MID WEST-GASCOYNE DISTRICT,Historical Sexual Offences,REGIONAL WA REGION,WESTERN AUSTRALIA,60761.0,1380,2.2711936933230197
MIDLAND DISTRICT,Recent Sexual Offences,METROPOLITAN REGION,WESTERN AUSTRALIA,250902.0,5642,2.2486867382484
WHEATBELT DISTRICT,Historical Sexual Offences,REGIONAL WA REGION,WESTERN AUSTRALIA,55937.0,1257,2.247170924432844
WHEATBELT DISTRICT,Recent Sexual Offences,REGIONAL WA REGION,WESTERN AUSTRALIA,55937.0,1256,2.245383198955968
ARMADALE DISTRICT,Recent Sexual Offences,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,5528,2.2269579544859424
