District,Crime,Period,Year,Month,Count,State,Region,Population,Count_Per_100
CANNINGTON DISTRICT,Property Damage,2007-02-01,2007,February,27,WESTERN AUSTRALIA,METROPOLITAN REGION,218411.0,0.012362014733690153
CANNINGTON DISTRICT,Property Damage,2007-02-01,2007,February,333,WESTERN AUSTRALIA,METROPOLITAN REGION,218411.0,0.15246484838217855
FREMANTLE DISTRICT,Property Damage,2007-02-01,2007,February,22,WESTERN AUSTRALIA,METROPOLITAN REGION,280099.0,0.007854365777814273
FREMANTLE DISTRICT,Property Damage,2007-02-01,2007,February,380,WESTERN AUSTRALIA,METROPOLITAN REGION,280099.0,0.13566631798042836
GOLDFIELDS-ESPERANCE DISTRICT,Property Damage,2007-02-01,2007,February,12,WESTERN AUSTRALIA,REGIONAL WA REGION,52685.0,0.022776881465312707
GOLDFIELDS-ESPERANCE DISTRICT,Property Damage,2007-02-01,2007,February,104,WESTERN AUSTRALIA,REGIONAL WA REGION,52685.0,0.19739963936604346
GREAT SOUTHERN DISTRICT,Property Damage,2007-02-01,2007,February,24,WESTERN AUSTRALIA,REGIONAL WA REGION,83330.0,0.028801152046081843
GREAT SOUTHERN DISTRICT,Property Damage,2007-02-01,2007,February,75,WESTERN AUSTRALIA,REGIONAL WA REGION,83330.0,0.09000360014400577
JOONDALUP DISTRICT,Property Damage,2007-02-01,2007,February,21,WESTERN AUSTRALIA,METROPOLITAN REGION,369114.0,0.00568929924088493
JOONDALUP DISTRICT,Property Damage,2007-02-01,2007,February,287,WESTERN AUSTRALIA,METROPOLITAN REGION,369114.0,0.07775375629209405
KIMBERLEY DISTRICT,Property Damage,2007-02-01,2007,February,13,WESTERN AUSTRALIA,REGIONAL WA REGION,35092.0,0.03704548045138493
KIMBERLEY DISTRICT,Property Damage,2007-02-01,2007,February,108,WESTERN AUSTRALIA,REGIONAL WA REGION,35092.0,0.30776245298073635
MANDURAH DISTRICT,Property Damage,2007-02-01,2007,February,15,WESTERN AUSTRALIA,METROPOLITAN REGION,289919.0,0.0051738589054184094
MANDURAH DISTRICT,Property Damage,2007-02-01,2007,February,249,WESTERN AUSTRALIA,METROPOLITAN REGION,289919.0,0.0858860578299456
MID WEST-GASCOYNE DISTRICT,Property Damage,2007-02-01,2007,February,10,WESTERN AUSTRALIA,REGIONAL WA REGION,60761.0,0.016457925313934925
MID WEST-GASCOYNE DISTRICT,Property Damage,2007-02-01,2007,February,156,WESTERN AUSTRALIA,REGIONAL WA REGION,60761.0,0.25674363489738483
MIDLAND DISTRICT,Property Damage,2007-02-01,2007,February,15,WESTERN AUSTRALIA,METROPOLITAN REGION,250902.0,0.005978429825190712
MIDLAND DISTRICT,Property Damage,2007-02-01,2007,February,199,WESTERN AUSTRALIA,METROPOLITAN REGION,250902.0,0.07931383568086345
MIRRABOOKA DISTRICT,Property Damage,2007-02-01,2007,February,23,WESTERN AUSTRALIA,METROPOLITAN REGION,295652.0,0.007779416340833142
MIRRABOOKA DISTRICT,Property Damage,2007-02-01,2007,February,352,WESTERN AUSTRALIA,METROPOLITAN REGION,295652.0,0.11905889356405504
PERTH DISTRICT,Property Damage,2007-02-01,2007,February,23,WESTERN AUSTRALIA,METROPOLITAN REGION,139077.0,0.01653760147256556
PERTH DISTRICT,Property Damage,2007-02-01,2007,February,196,WESTERN AUSTRALIA,METROPOLITAN REGION,139077.0,0.14092912559229778
PILBARA DISTRICT,Property Damage,2007-02-01,2007,February,0,WESTERN AUSTRALIA,REGIONAL WA REGION,55119.0,0.0
PILBARA DISTRICT,Property Damage,2007-02-01,2007,February,110,WESTERN AUSTRALIA,REGIONAL WA REGION,55119.0,0.19956820697037317
SOUTH WEST DISTRICT,Property Damage,2007-02-01,2007,February,12,WESTERN AUSTRALIA,REGIONAL WA REGION,188744.0,0.006357817996863476
SOUTH WEST DISTRICT,Property Damage,2007-02-01,2007,February,223,WESTERN AUSTRALIA,REGIONAL WA REGION,188744.0,0.1181494511083796
WHEATBELT DISTRICT,Property Damage,2007-02-01,2007,February,4,WESTERN AUSTRALIA,REGIONAL WA REGION,55937.0,0.007150901907503083
WHEATBELT DISTRICT,Property Damage,2007-02-01,2007,February,83,WESTERN AUSTRALIA,REGIONAL WA REGION,55937.0,0.14838121458068898
